UPS CGC/PI,Jul/94,Ago/94,Set/94,Out/94,Nov/94,Dez/94,Jan/95,Fev/95,Mar/95,Abr/95,Mai/95,Jun/95,Jul/95,Ago/95,Set/95,Out/95,Nov/95,Dez/95,Jan/96,Fev/96,Mar/96,Abr/96,Mai/96,Jun/96,Jul/96,Ago/96,Set/96,Out/96,Nov/96,Dez/96,Jan/97,Fev/97,Mar/97,Abr/97,Mai/97,Jun/97,Jul/97,Ago/97,Set/97,Out/97,Nov/97,Dez/97,Jan/98,Fev/98,Mar/98,Abr/98,Mai/98,Jun/98,Jul/98,Ago/98,Set/98,Out/98,Nov/98,Dez/98,Jan/99,Fev/99,Mar/99,Abr/99,Mai/99,Jun/99,Jul/99,Ago/99,Total
06.554.836/0001-14-P S AREIAS,546.8,687.1600000000001,568.72,577.9499999999999,465.76,241.14,438,494.6,516.21,325.65999999999997,456.77000000000004,834.73,544,439.74,446.21,693.6600000000001,525.35,722.39,626.4300000000001,609.74,573.22,565.99,138.72,389.0900000000001,455.66,469.93000000000006,536.29,536.1400000000001,477.73,489.12,534.94,531.4,536.29,536.29,536.29,536.29,536.29,536.29,536.29,536.2900000000001,432.25,526.0899999999999,357.1,0,492.84999999999997,512.53,0,384.42999999999995,0,363.14,70.49000000000001,290.32,362.65999999999997,363.08000000000004,419.80999999999995,404.87,321.35,592.3599999999999,539.29,250.73000000000002,489.94,344.14,28267.000000000004
06.554.836/0001-14-P S BENTO GONCALVES,588.88,577.92,584.24,525.4799999999999,561.79,460.79,458,484.56,384.13,308.68,467.89,608.23,698.54,477.3,508.52,50.489999999999995,541.14,598.52,508.43,579.8,596.94,481.4,726.03,393.38,393.38,461.5,126.96000000000001,463.51,441.12,439.78000000000003,463.66,463.96999999999997,463.96999999999997,463.96999999999997,463.96999999999997,463.96999999999997,463.96999999999997,463.96999999999997,441.53,463.96999999999997,463.97,463.9699999999999,269.2,0,463.96999999999997,618.5200000000001,612.0000000000001,323.39,365.56,301.77,8,301.59,301.59,301.59,513.3,414.48,307.02000000000004,574.6999999999999,517.85,236.63000000000002,456.84,290.69,27220.910000000007
06.554.836/0001-14-P S CARAIBAS,694.4,744.8,675.6800000000001,728.4399999999999,613.86,570,638,594,538,546.41,791.02,701.51,651.98,694.0699999999999,687.12,887.59,828.31,806.5699999999999,766.95,804.45,715.02,638.28,1.53,591.9000000000001,591.9,643.53,696.43,696.42,642.24,642.4,696.8100000000001,692.6899999999999,696.5699999999999,696.5699999999999,696.7,696.5699999999999,695.93,695.0400000000001,695.6,695.69,695.4200000000001,683.74,405.7,0,696.5699999999999,626.49,818.5500000000002,549.3900000000001,454.35999999999996,434.41999999999996,62.56,380.59999999999997,433.94999999999993,433.95,518.4300000000001,419.75,304.07000000000005,616.52,533.59,212.35000000000002,465.38,417.59000000000003,36944.359999999986
06.554.836/0001-14-P S GIL MARQUES,983.36,847.36,846.4,687.2,704.48,1065.68,944.24,1058.52,972,626,548.4,887.6800000000001,895.6,928.06,985.6999999999999,992.79,924.64,1034.14,932.5300000000001,971.45,1089.02,1490.51,0,762.85,761.87,834.51,879.2,898.46,828.3199999999999,257.92,898.7800000000001,898.87,898.87,880.3199999999999,898.76,898.36,897.5600000000001,898.36,898.36,898.36,898.36,897.5600000000001,582.52,0,898.36,797.4800000000001,561.24,649.72,548.0400000000001,612.2400000000001,129.96,597.96,519.12,551.0400000000001,703.16,633.88,743.9200000000001,564.04,496.64,192.04,448.8,286.44,46918.009999999995
06.554.836/0001-14-P S PE DA SERRA,237.6,310,254.88,343.96000000000004,944.32,908.48,875.2,993.6,1043.42,713.11,777.28,1094.29,1013.1600000000001,772.3499999999999,987.1,999.54,646.14,1038.63,893.03,920.64,1015.7,939.12,1171.31,774.89,775.1600000000001,838.62,261.36,833.1199999999999,834.72,783.52,839.3599999999999,910.8100000000002,911.6700000000001,889.4600000000002,830.53,687.47,736.58,166.83999999999997,824.6300000000001,665.8500000000001,515.81,837.69,317.36000000000007,0,457.72,707.8799999999999,0,263.74,0,402.96,85.63,371.49999999999994,306.83,325.04,364.32000000000005,387.26,291.93,576.25,520.48,200.32000000000002,472.07,287.78000000000003,39150.020000000004
06.554.836/0001-14-P S SACO,665.92,827.2,544.24,1004.76,1243.47,1313.6,1369.6,1144.32,1232.6,756.71,1222.9899999999998,1204.77,1242.32,1229.23,1256.8300000000002,1414.2,1345.96,1499.73,1256.02,1228.52,1366.01,1178.5400000000002,1542.81,1056.01,1056.01,1065.78,1241.69,1029.8500000000001,1056.74,936.96,1077.43,519.45,881.18,718.67,777.2099999999999,637.38,774.73,814.98,792.4300000000001,779.22,1157.0299999999997,752.3600000000001,313.92,0,492.84000000000003,607.6,737.72,443.15,369.82,440.66,312.47,403.50000000000006,415.78,386.68,467.45,412.92999999999995,289.92,574.2399999999999,496.64,195.21,463.05999999999995,285.62,52324.669999999984
06.554.844/0001-60-P DE S CAPIN PUBO,0,0,0,1721.3300000000002,1664.08,1808.03,1776.4700000000003,1919.84,1674.73,2072.24,1983.98,1929.34,2065.67,2021.62,2077.85,2290.9,2221.0600000000004,2268.63,2239.41,2315.9300000000003,2203.26,2306.77,2241.78,1690.85,1708.1,1731.65,1913.21,1699.3,1984.72,1654.75,1590.3500000000001,1707.73,1615.78,1645.82,1632.57,1945.39,1724.72,1544.3200000000002,1691.5699999999997,1843.81,1724.8799999999999,1883.61,244.42000000000002,1503.7199999999993,1295.4999999999998,1369.8199999999997,1365.7499999999995,844.59,598.8599999999998,785.1500000000001,45.29,787.1199999999999,711.3399999999999,794.79,786.0899999999999,257.6,278.24,294.57000000000005,327.63999999999993,301.56000000000006,253.31999999999996,276.57000000000005,86857.99
06.554.844/0001-60-P DE S MOSQUIADA,0,0,0,1275.1399999999999,1729.76,1874.1399999999999,1703.9,1880.36,1539.23,1753.81,1417.19,1367.17,1428.68,1404.59,1224.44,1405.23,1426.88,1377.8400000000001,1340.25,1644.83,1413,1629.1,1389.66,1268.3,1268.3,1492.54,1492.54,1472.27,1492.5400000000002,1466.22,1472.9499999999998,1441.19,1490.9099999999999,1491,1491.74,1492.5400000000002,1485.5399999999997,1490.75,1484.61,1476.1399999999999,1492.5399999999997,1491.7599999999998,861.4799999999999,1358.5899999999995,1153.2,1229.9099999999999,1275.4799999999996,850.63,817.34,748.9,47.83,748.48,677.16,712.07,733.9399999999999,269.65000000000003,286.21000000000004,306.76000000000005,316.76,280.74,222.74999999999997,247.49,71124.95
06.554.844/0001-60-P DE S PUBAS,0,0,0,1675.1799999999996,1882.4,1979.3,1911.47,1892.8,1828.88,1796.37,1709.62,1777.25,1848.6399999999999,1858.43,1760.32,1879.35,1848.88,1813.3,1682.33,1860.76,1742.33,1763.26,1714.37,1552.03,1541.83,350.01,1814.4400000000003,1792.67,1806.0700000000002,1781.82,1797.6299999999999,1825.6699999999998,1825.9199999999998,1818.64,1825.11,1822.74,1826.91,1826.08,1825.5999999999997,1812.5999999999997,1826.8199999999997,1744.5099999999995,923.0000000000001,1490.4199999999996,1511.21,1572.66,1531.2499999999998,1046.91,966.2699999999999,877.9499999999999,41.16,877.63,877.6800000000001,877.6,845.2400000000001,248.49,250.34,321.96,308.67999999999995,240.59999999999997,196.46,278.63000000000005,83926.48000000003
06.554.844/0001-60-P DE S SANTA HELENA,0,0,0,1693.57,1878.32,2013.98,1957.37,1925.52,1951.06,1783.38,1776.99,1657.41,1709,1660.57,1614.28,1649.78,1685.43,1665.22,1448.41,1856.6799999999998,1430.44,1786.79,1535.85,212.93,212.93,341.34,1742.29,1717.4,1727.71,1715.5500000000002,1740.15,1751.76,1752.28,1750.72,1666.7199999999998,1752.3200000000002,1752.1299999999999,1751.4099999999999,1751.1299999999999,1747.6199999999997,1504.8799999999994,1607.1799999999996,815.24,1408.7099999999996,1337.5299999999997,1552.3499999999995,1410.1799999999998,942.69,897.3299999999997,873.9699999999999,30.18,832.5699999999999,842.79,864.3199999999999,846.7499999999998,571.9499999999998,609.7000000000002,648.3,754.2399999999999,599.43,568.27,706.2699999999998,79991.27
